label,text
disgust,While walking in town I noticed how the police harrassed a man à who was under the influence of alcohol.  They terrified him with à the thought of arrest by driving close behind him on a pedestrian à street.  My disgust was directed at the gestures and the facial à expressions of the policemen; they seemed to be enjoying à themselves.
shame,"When my boyfriend revealed that he knew that I had discovered à things of an important nature about him, I felt ashamed as I had à not mentioned it earlier."
guilt,"When I am dishonest to a friend to whom I am very close.  I à feel guilty because I know that he gives a different version of à the truth and I have not corrected these mistakes, and he is à aware that I know that they are wrong."
joy,When I found out that I had passed the last two exams by a à margin of three marks.
fear,When my father was ill and was waiting for the results of his tests.
anger,When I got caught in the pouring rain last Thursday and did not à have a raincoat on me.
sadness,When I failed an exam.
disgust,"At a Sm…rgasbord table, a man mixed differnet kinds of picked à herrings with fruit salad."
shame,"When I had not prepared my contribution to the group as à thoroughly as the other members, with the result that the à overall result was poor."
guilt,"When my father and I worked on the house just after he had à recovered from illness, I was rather lazy.  This meant that he à had to work hard and was not very well later."
joy,When I gave birth to my son and saw that he was alive and that I à had managed it well.  He was born a month too early with a à malfunctioning lung.  This happened a year ago.
fear,When I found out that my father had lung cancer and they did not à know how long he would live.
anger,"When a colleague asked me for help at work, despite the fact à that he had more time to do it than I had."
sadness,When I did not get the salary increase that I had been expecting à and understood how little one's work was appreciated.
disgust,When I was weeding the garden I found a lizard in my hand.
shame,"When I met a friend whom I had not seen for a long time and à heard all about her troubles, I thought that I should have got à in touch with her earlier."
guilt,I got angry at my mother for something trivial.  We were in a à bad mood because my father was very ill and I knew that my mother à really needed support.  I had reacted wrongly.
joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the à steps outside her parents home and I kissed her for the à first time."
fear,"When I was stopped by plain clothes policemen because the car I à was driving had overturned on the Avenue.  I had been driving too à fast, and I was afraid when I was stopped, questionned and then à toild to go.  The situation ended happily since there were no à consequences."
anger,The editor changed the heading of an article that I had written.  à He considered the heading to be derogatory towards the person I had written à about.
sadness,"A close acquaintance of the family died of lung cancer.  à Although it was expected, I still felt depressed."
disgust,"When I saw a picture, in the Gothenburg Post, of a totally à demolished car with two fatally injured passengers.  The car was à so badly damaged that they couldn't get the bodies out at the à scene of the accident."
shame,One night I had a sexual intercourse with another man.  My sexual à desire and my curiosity had made me jump into bed with him.  I am à ashamed of myself now.
guilt,"Due to laziness, I failed the term studies completely at à University.  I also wanted, to some extent, to protest against my à parents' expectations."
joy,When I got the loan for my studies.
fear,I met intoxicated people with dubious intentions in a back alley à one Wednesday night.
anger,On the T.V I saw a news feature on South Africa.  A policeman      à attacked a group of black people with a whip.
sadness,The thought of having to read a boring book of 400 pages in à English.
disgust,Grovelling people.
shame,My inability to assert myself positively in a group.
guilt,I experience feelings of guilt because I do not study enough.
disgust,"Observing someone in the cafeteria noisily gulping in his food, à having extremely bad manners."
shame,I guess I have often been ashamed after having talked badly of à other people.
guilt,Having been angry and unpleasant towards my parents.
joy,When my sister - after a history of one abortion and one à stillbirth - gave birth to a perfectly healty boy.
fear,"When my sister had the still born child, she was emotionally very à deep down, and it took her a long time to recover."
anger,"We were starting a student project, and the teacher we talked to à was very negative and not very helpful."
sadness,"When my boyfriend openly let me down, preferring another girl."
disgust,"I felt some disgust for my boyfriend for a time, after he had à left me."
shame,Can't think of any.
guilt,"Before an accident, my aunt offered me the front seat of the car, à next to the driver. I declined, she took that seat and was killed à there when the car crashed."
joy,"Unexpected visit by a close friend, whom I hadn't seen for half a à year."
fear,"I wandered by mistake into the safety zone of a shooting range, à and was shot at."
anger,Being treated unfairly.
sadness,Breaking up with a girl.
disgust,Nothing.
shame,None.
guilt,Little contact with my father before he died.
joy,"When I was accepted as a student at the college, not having à thought it possible."
fear,"When I was the first to arrive at the scene after an accident, à and found that a close school friend had been killed."
anger,"I was accused of having done something, which I hadn't and got à very angry."
sadness,When my grandmother died.
disgust,Not applicable.
joy,"A couple of years ago during the summer holiday, I was fishing at à a lake with my husband.  Suddenly it started raining while the à sun was still shining. I experienced a feeling of joy, happiness à and fulfillment.  the whole nature was full of music."
fear,"I was alone at home, in bed reading a womens' magazine in which à there were storiees of paranormal experiences.  My leg was à itching and I stretched my hand to scratch and I felt another à strange hand. (later I realized that it was the corner of the à blanket)"
anger,"I went to a lecture and once again it had been cancelled, this à was the second time.  One had a negative attitude towards the à lecturer.à "
sadness,"I heard that a former superior of mine had died, I was later at à home home reading about it in the newspaper and I thought of our à interaction and how it was no longer possible.  The limited scope à of human life is sad."
disgust,"In the tram there was a fat, sickly looking woman in front of me à who was asking for directions in a thick voice.  When she got up to à go a disgusting smell of urine came from her.  I felt that I à would choke."
shame,"When we were at home, my husband and I, he made a remark about à something I had done, in a perfectly friendly manner.  My deed à had been unjust and I knew that my husband was right, therefore my à sense of shame."
guilt,"I made a remark to my sister concerning her attitude to men, the à way she talked and I compared her to an acquaintance of mine.  à Later, the same evening, my sister looked sad.  I felt guilty à about her sadness."
joy,"I had a summer job in Sweden, and my boyfriend came to meet me on à my birthday."
fear,"I went to practice in Sweden during summer, and I was afraid that à I would not do well."
anger,"In the holiday cottage of our association, two of my pals came to à wake me up early one morning by bringing a radio played at the à highest volume into my room - it was the morning service at its à loudest."
sadness,My grandmother died suddenly last summer.
disgust,"My superior at the summer job swindled customers as much as he à could, and once put me in a difficult situation after which I à could not but detest him."
shame,Once I arrived two hours late to my work place (a bank) and I was à still feeling feeble and tired.
guilt,Our association had Polish visitors and when they were going back à by boat I did not go to see them off (I am the chairman of the à association).
joy,"I was told quite unexpectedly that one wanted me to become the à vice-chairman of our student organisation.  I was really à surprised and joy was the first emotion I felt, though behind it à there was worry - how shall I succeed ?"
fear,"Our tutorial group was soon to be divided, and we got a list of à names of freshmen, out of which five were to be in my group.  We à read the names and then each group went its own way to a seminar à room.  I wondered how I would cope with the new situation and if à I would succeed as a group leader."
anger,"We were in a disco and the evening was not at all pleasant.  à Despite my not knowing why, I was angry with my companion.  I let à him feel my bad humour as I cannot hide my feelings."
sadness,"My grandmother died, and my mother called me one sunday morning à in the Autumn.  The way my mother told me about it, I hated her à at that moment.  She sounded as if she had been waiting for the à death of my grandmother.  I had lost a person close to me.  I à felt guilty too as I had been bad to my grandmother of late.  I had not à remained calm when she no longer understood everything so well."
disgust,"At the underground station, a drunkard came to speak to me.  He à tried to ask me something but I did not answer so he began to à speak about me with his companion.  I detested this dirty à growling man."
shame,"I was worried by a task related to my studies which had to be à done in groups of two.  I was talking about it to my friends when à I said something negative, in too abrupt a manner, concerning my à work partner.  I did not quite mean what I said and I felt à ashamed at having been mean enough to criticize him as he is also à a friend of mine."
guilt,I had told my boyfriend that I did not want to go on with our à relationship.  I knew that I was important to him but I wanted to à be free.  I saw that this was difficult for him but I remained à firm and did not change my mind.
joy,"Last night I had a chat with a fellow student.  I had known her à for about half a year, and for the first time we were speaking à ""the same language""- meaning an inspiring discussion and à encounter."
anger,"[ I sometimes quarrel with my mother because she blames me, à though I have not in any way been connected to some events.]"
sadness,"After hearing about the death of my grandfather.  First I could à not believe it, but later I wept and felt the situation was à hopeless.  I felt lonely and wanted to be consolated."
disgust,"In the evening, while I was watching TV, my little brother came à in and started eating food he had brought from the kitchen while à I was trying to concentrate on the program."
shame,My little brother was arrested by the police at the railway station after à he had drunk some beer.
guilt,"At my temporary job, I have to restrict  others' actions and make à them obey me, and this very often gives me  a feeling of guilt.  I à wish there could be some other way of acting."
joy,"I met a dear friend of mine after a long time.  I expressed my feelings à in our own usual way, by mutual scolding and abusing (with à complete understanding) and by touching, patting and taking the à hand of the other person, etc..."
fear,"I felt fear of the purest kind after a car accident.  The à incident and images of horror kept coming back to my mind.  I à wondered what could have happened to my sister, my friend and me, à though nothing very serious actually happened."
anger,"Two boys whom I know were telling me, in an indecent manner, how à they had teased a young and shy girl I know.  They had despised à her conviction, scorned and touched her.  I got very angry and à did not try to conceal it and gave it back to them."
sadness,"My sweetheart left me, or rather we decided to break it off by à mutual consent.  The consequences were - unrestrained weeping, à feelings of loneliness, hopelessness and disconsolation.  I felt à that I should find a friend, to talk to joyfully and to forget."
disgust,"Out of sheer curiosity, I went to see a pornographic movie in à Copenhagen.  The room was full of men, who panted and à masturbated.  Very disgusting."
shame,"After having quarelled unnecessarily and without any reason, and à having been stupidly cross in every way."
shame,[ Do not know.]
guilt,Forced to fill in a questionnaire.
joy,When I won a tennis match.
fear,When my dog ran out on thin ice last spring.
anger,When my tennis match was interrupted because a kid cycled right à into the court.
sadness,[ No response.]
disgust,[ No response.]
shame,[ No response.]
guilt,[ No response.]
joy,Celebrations on the graduation day with the orchestra playing in à the garden ( I am a part of this orchestra).
fear,Risk of being involved in a fight after a party.
anger,"I had a very heavy work load and two colleagues, whom I have à nothing against, disturbed me by ""terror ringing"", i.e à continously interrupting me by telephoning."
sadness,After an exam which I failed.
disgust,[ Normally I do not feel disgusted.]
shame,"When I overtook a car on the mainroad, misjudging the distance of à an oncoming car and this resulted in tooting and flashing from à the other driver (we could have collided), and I had an à acquaintance in the car with me."
guilt,"I saw a neighbour, from the same appartment block as me, lying    à on the road.  He could have been injured or ill.  I kept 20 à metres away and did not go to help him."
joy,When I met an old schhol friend (school love) who works in à Sk+vde.
fear,"When I was cycling to school, I nearly got knocked down by a car à which (overtook me too closely) did not give me any swerving space."
anger,"When I was deputy manager during the Summer, certain deputies à took liberties, more than what was normal."
sadness,"When I realized that my girlfriend, whom I like, and I were going à to separate."
disgust,Dog dirt which thaws in the spring.
shame,When I forgot my mother's birthday.
guilt,[ Can not think of anything just now.]
joy,Passed the last exam.
fear,Was nearly knocked down by a car.
anger,I reached the bus stop and realized that I had forgotten my bus à pass.
sadness,My current work load is too much.  The feeling comes back from à time to time.
disgust,[ Can not think of any situation.]
shame,[ No response.]
guilt,[ No response.]
joy,When my one year old son gives me a spontaneous kiss.
fear,When someone close to me is travelling by car and is delayed.
anger,When someone does something wrong which affects me negatively.
sadness,When I think about my parents getting old.
disgust,[ Can not remember.]
shame,[ No response.]
guilt,"I do not have the time for other people's problems.  My à mother-in-law is sometimes depressed and I do not have the time, à the desire or the strength to help."
joy,"An ex-colleague asked me if I was interested in working in their à accounts bureau.  They needed ""clever people"" and he had à ""immediately thought of me."""
fear,I was driving and a deer suddenly appeared in front of the à car when there was a lot of traffic behind me.
anger,I saw a report on T.V news on apartheid in South Africa. 
sadness,[ No response.]
disgust,[ No response.]
shame,[ No response.]
guilt,[ No response.]
joy,When my girlfriend became pregnant.
fear,When I nearly collided with another car.
anger,The time when someone let the air out of the tyres of my cycle.
sadness,When I read a lot and did not remember anything.
disgust,[ No response.]
shame,[ No response.]
guilt,The time that I had to put my dog to sleep.
joy,[ No response.]
fear,[ No response.]
anger,[ No response.]
sadness,Long illness.
joy,When I passed an exam.
fear,"When I was travelling by tram, I tripped and fell against the à door.  I thought that I was going to fall out."
anger,When I missed the tram after having run for it.
sadness,The inability to read a book at college.
disgust,If a guy one is not interested in makes advances.
shame,I drink wine too often.
guilt,I do not study enough as I do not understand it properly.
joy,I worked at a lawyer's office during Summer and I got a very à good reference from him.
fear,I had been watching a triller a dark night in the country and I à had to go the outside toilet on my own. 
anger,"When I am accused of something I have not done, I get unbelievably à angry."
sadness,"When I began to read a thick book, which I had a limited time to à read.  Also when I have a lot of work to do and I cannot keep up."
disgust,Someone vomited on the street.
shame,"I can not think of any incident when I have felt very ashamed.  à There are small incidents that I am ashamed of, for instance, à not sending money to the children in Ethiopia."
guilt,I had lunch with my ex-boyfriend and did not mention it to my à fiancee.  I felt guilty despite the fact that I felt nothing for à my ex-boyfriend.
joy,When I was finally qualified for my profession.
fear,Someone attacked me with a knife.
anger,Someone drove into my car and then denied that it had happened.
sadness,When I was told that my friend's wife had cancer.
disgust,When I saw a dog which had been knocked down by a car.
shame,When I boxed my child's ears.
guilt,When I was fined for speeding.
joy,I stopped working (had a boring job).
fear,"I was going home by car late one night when it was cold, dark and à windy.  I became rather panicky on the way to my house."
anger,Quarrel in the family.
sadness,When I am alone in a room with no contact with anyone - à loneliness drains me.
disgust,When I was on holiday someone vomited in front of me.
shame,Emptied a bucket of water in a hospital.
guilt,When I feigned sick leave from work.
joy,When I get a hug from someone I love.
fear,I was driving very fast on a small road and I met an oncoming car à in a right handed bend.  The other driver was on his own side of à the road and I had to skid out of it to avoid a collision.  It à was dark.
anger,My car had been towed away by the traffic police because it had à been wrongly parked.  However the sign had been put up only after à I had already parked.
sadness,After an operation I had to stay in bed for a long time.
disgust,I was forced to stay in the canteen and eat the food that I had à not asked for but got it anyway.
shame,When I did not buy what I had promised to.
guilt,By mistake I took a book from the library which was not supposed à to be loaned out.
joy,When I won an unexpected sum of money.
fear,My 2 year old daughter disappeared in a moment of inattention; I à was responsible for her.
anger,A colleague asked me for some advice and as he did not have à enough confidence in me he asked a third person.
sadness,"I wanted to be pregnant and did not succeed, so I was depressed    à at every menstruation."
disgust,"In a warm bus full of people, someone vomited and the whole bus à stank."
shame,"I complained about a colleague's behaviour as she goes back on à her word, is often absent and is irresponsible.  I found out that à she was an alcoholic and was trying to fight againt her à addiction."
guilt,I spoke to my mother on the phone.  She had skin cancer and was à waiting to be operated.  I forgot to ask her the date of the à operation and just before finishing our conversation she gave me à the date in passing. 
joy,When I was at a party I met an old friend from an adult à education course.  We had not met for 2 years but had both thought à a lot about each other.  A wonderful experience.à 
fear,"When I was cycling through the park late one night, two people à jumped out of the woods and tried to stop me.  There were à shouting something at the same time."
anger,When close relatives tried to dissuade me from studying à Psychology because of its low status.
sadness,I had a long discussion on politics with an acquaintance.  He à was more knowledgeable than me and I failed to explain my point à of view and was misunderstood so I felt depressed and left.
disgust,When I read a newspaper article on a young girl who had been à raped and assaulted one night by several men when she was unconscious.
shame,My mother revealed personal details about me and the à negative aspects of my character to other people when I was à present but unable to defend myself.
guilt,I was unfaithful to my partner once when he was working abroad à for a long period.
joy,When I recently got an appartment in central Gottenburg.
fear,When I saw a large spider crawling up the wall.
anger,My employer took too many aspirins for a bad back and also drank à an enormous amount of spirit.  This was dangerous  and he did à not understand that he had done anything wrong.
sadness,"When I left New York, and all my family and my friends behind me."
disgust,When I slept with a guy because my best friend wanted me to.  à He had never had intercourse with anyone and had a terrible à complex about it.
shame,When I dated a close girlfriend's boyfriend a few times. He told à me that it was over between them and I accepted it.  When she à found out she finished our friendship.
guilt,"When I broke off with my boyfriend after three years.  It was à quite unexpected for him and there was no particular reason for à the break up, such as someone else."
joy,When my son returned from mountaineering - healthy in body and à soul.
fear,When one meets new people with whom one is forced to collaborate à with.
anger,The sports fishermen who catch gulls instead of fish with their hooks. à   It is often a mistake but it makes me angry.
sadness,I feel sad about an event I can not influence.
disgust,"When a member of the family complains about the food that is à served, it disgusts me."
shame,[ Cannot recall any incident when I felt shame.]
guilt,I have chosen to put my son in a private school were the à examination marks are low.  Every time that he gives me his term à results I am left with a sense of guilt.
joy,When I was informed that I had been accepted as a student of à Psychology.
fear,When I was in a little fishing boat and we ran into hard weather à in the open sea.
anger,When I found out that the guy I was dating at a particular time à had a steady relationship going on with someone else for a long à time.
sadness,I felt sad and depressed when I heard that our cat had died.
disgust,"When I was working as a nurse in a mental hospital, a patient ate à up the contents of another patient's spitoon."
shame,"At primary school, when I vomited in front of others in the middle  à of a lesson."
guilt,I arrived an hour late for an important meeting ( I had à misunderstood the time).
joy,When I was acceptted as a student of psychology.
fear,When my son has a pain in his leg (for no apparent reason).  
anger,"When, after a week at school, a teacher sent a note home saying à that my son was inattentive and unable to do his lessons."
sadness,When I thought that it was going to be impossible for me to start à studying (due to wrong information from the student advisor).
disgust,"At a certain person's lack of cleanliness, at home and à personally."
shame,"When I made the same mistake that I had accused someone else of, and à this was obvious to a third pereson."
guilt,When I lost something that was valuable to my sister.
joy,When my son was born.
fear,When I nearly drowned in icy water wearing ice skates.  It was à difficult to get out.
anger,When I was pointed out as a problem child in primary school and à my mother took the teacher's point of view.
sadness,When I was accused of neglecting work for the wrong reasons.
disgust,"My parents attitude towards each other when they should become à reconciled, despite my father's long-time addiction."
shame,When I was caught stealing money from my father.
guilt,I stole a coconut cake from a reception table and when I put à in my mouth I realized that the host was watching me.
joy,"When after 10 months of national service I was ""downgraded"" and à did not have to do the remaining 5 months."
fear,When I was reprimanded by the manager of the hotel where I à worked during Autumn 1984.
anger,When my parents drove me to a nearby place and went home à immediately instead of waiting a few hours.  They could have à easily waited.
sadness,When my ex-girlfriend and I discovered that there was a certain risk à of her being pregnant.
disgust,When I was about to clean the draining board and saw it looked à underneath the sink (I live in a students hostel).
shame,When my mother caught me masturbating.
guilt,"As the only person in my family into academics, I ought to have à looked after my younger (and only) sister better, with respect to à her education and life experiences."
joy,When my older sister told us that she was thinking of joining the à rest of the family for the winter sports holiday.
fear,Slept in a chapel and in the middle of the night I realized that à there was someeone else in the chapel.  I never discovered who à it was and why he was there.
anger,"When we were in high school a few guys sometimes provoked a à friend of mine.  They called her a pig and then grunted.  This à irritated most of the girls.  Once, one of the girls got angry at à my friend and said something nasty and this made me terribly à angry."
sadness,I talked to my boyfriend on the phone when I was in high spirits à and had a lot to tell him.  I had been looking forward to this à conversation and he did not listen to me to the extent that I à had anticipated.
disgust,A mother who shouts at her child for nothing.
shame,"When I complained to my mother about how untidy the kitchen à loooked, she boxed my ears ( this had never happened before)."
guilt,"As I could not be home before midnight I called home at 11.30 and à asked them to leave the door open so that I could get in.  I à actually woke up the whole family by calling them so late.  My à mother could not go back to sleep, besides she had a conference   à the next day and really needed to sleep."
joy,When I got through the first day here at the department.
fear,When I was cycling past a parked car someone opened the door and à nearly pushed me off my bike and into the traffic.
anger,When my boyfriend sat up half the night playing computer games à with a friend.
sadness,When I had to leave my mother and my sister after a week's visit.
disgust,When I saw a big spider from very close.
shame,When I asked a friend to return the money that I had loaned her à and then remembered that she had repayed me in several ways.
guilt,When one of my parents insinuates something about the other à (they are divorced).
joy,When i was asked to be a child's godmother.
fear,On the way down a ski slope which was difficult and steep.
anger,When my mother interfered in my life.
sadness,When I was left alone one week-end without being prepared for à it.
disgust,The first time that I saw a surgeon cut off a leg and put it in a à black rubbish bag.
shame,When I forgot about a meeting at work.
guilt,When I demand too much from my friends.
joy,When my husband suddenly came to see me at my new job and à brought some flowers and cake with him.
fear,When I was nearly attackad by a man who had been chasing me.
anger,"When my father asked me if I was a communist, at the same time he à made it clear that I should no longer see myself as his daughter."
sadness,"When I applied for a job which I thought I had a good chance of à getting, I was not even granted an interview and did not get the à job."
disgust,T.V features showing the violation of defenceless people.
shame,When I as a child of 9 or 10 I was playing doctor with the à neighbours boys their mother caught us.
guilt,When my husband talked about the restrictions he will have to à accept in his life to make our marriage work.  I felt that it was à directed at me as it was me who had demanded the changes.  We à were with a marriage counsellor then.
joy,When we were able to afford a new sofa - a leather one which cost à SEK 20000.  I had waited for it for 2-3 years.
fear,Vertigo - standing on a ladder and painting the house.
anger,When my boss enrolled in a course to satisfy his own ends - to à trample on his associates.  I have the misfortune to have one of à my superiors in my course.
sadness,When I argue with my mother about the way she treats her two à children differently.
disgust,Spit and vomit.
shame,Spots on the seat covers of my husband's car.
guilt,Not speaking to my sister-in-law due to lack of interest in a à relationship on my side.
joy,"When I recently managed to get my first consulting assignment à ""myself"" i.e on my own initiative."
fear,I was within a hair's breadth of knocking down a drunkard who à suddenly ran into the street.  The fear came later when I     à realized what could have happened.
anger,"When my friend, as usual, forgot the tickets at home for a à performance.  We missed it."
